Platform,Problem ID,Problem Name,Rating,Status,Problem Link,Contest Name,Contest Date,Contest Link,Tags,Last Edit
Codeforces,1691B,Shoe Shuffling,1000,,https://codeforces.com/contest/1691/problem/B,CodeCraft-22 and Codeforces Round #795 (Div. 2),2022-05-31,https://codeforces.com/contest/1691,"constructive algorithms, greedy, implementation, two pointers",
Codeforces,1691A,Beat The Odds,800,,https://codeforces.com/contest/1691/problem/A,CodeCraft-22 and Codeforces Round #795 (Div. 2),2022-05-31,https://codeforces.com/contest/1691,"brute force, greedy, math",
Codeforces,1689E,ANDfinity,2500,,https://codeforces.com/contest/1689/problem/E,Codeforces Round #798 (Div. 2),2022-06-10,https://codeforces.com/contest/1689,"bitmasks, brute force, constructive algorithms, dfs and similar, dsu, graphs",
Codeforces,1689D,Lena and Matrix,1900,,https://codeforces.com/contest/1689/problem/D,Codeforces Round #798 (Div. 2),2022-06-10,https://codeforces.com/contest/1689,"data structures, dp, geometry, shortest paths",
Codeforces,1689C,Infected Tree,1600,,https://codeforces.com/contest/1689/problem/C,Codeforces Round #798 (Div. 2),2022-06-10,https://codeforces.com/contest/1689,"dfs and similar, dp, trees",
Codeforces,1689B,Mystic Permutation,900,,https://codeforces.com/contest/1689/problem/B,Codeforces Round #798 (Div. 2),2022-06-10,https://codeforces.com/contest/1689,"data structures, greedy",
Codeforces,1689A,Lex String,800,,https://codeforces.com/contest/1689/problem/A,Codeforces Round #798 (Div. 2),2022-06-10,https://codeforces.com/contest/1689,"brute force, greedy, implementation, sortings, two pointers",
Codeforces,1688C,Manipulating History,1700,,https://codeforces.com/contest/1688/problem/C,Codeforces Round #796 (Div. 2),2022-06-03,https://codeforces.com/contest/1688,"constructive algorithms, greedy, strings",
Codeforces,1688B,Patchouli's Magical Talisman,800,,https://codeforces.com/contest/1688/problem/B,Codeforces Round #796 (Div. 2),2022-06-03,https://codeforces.com/contest/1688,"bitmasks, constructive algorithms, greedy, sortings",
Codeforces,1688A,Cirno's Perfect Bitmasks Classroom,800,,https://codeforces.com/contest/1688/problem/A,Codeforces Round #796 (Div. 2),2022-06-03,https://codeforces.com/contest/1688,"bitmasks, brute force",
Codeforces,1687F,Koishi's Unconscious Permutation,3500,,https://codeforces.com/contest/1687/problem/F,Codeforces Round #796 (Div. 1),2022-06-03,https://codeforces.com/contest/1687,"fft, math",
Codeforces,1687E,Become Big For Me,3500,,https://codeforces.com/contest/1687/problem/E,Codeforces Round #796 (Div. 1),2022-06-03,https://codeforces.com/contest/1687,"combinatorics, constructive algorithms, greedy, math, number theory",
Codeforces,1687D,Cute number,2900,,https://codeforces.com/contest/1687/problem/D,Codeforces Round #796 (Div. 1),2022-06-03,https://codeforces.com/contest/1687,"binary search, brute force, data structures, dsu, implementation, math",
Codeforces,1687C,Sanae and Giant Robot,2500,,https://codeforces.com/contest/1687/problem/C,Codeforces Round #796 (Div. 1),2022-06-03,https://codeforces.com/contest/1687,"binary search, brute force, data structures, dsu, greedy, sortings",
